price,beds,baths,square_feet,Cherokee,Clayton,Cobb,DeKalb,Douglas,Fayette,Fulton,Gwinnett,Henry,Rockdale
335000.0,3.0,2.0,1686.0,0,0,1,0,0,0,0,0,0,0
290000.0,3.0,1.0,1420.0,0,0,1,0,0,0,0,0,0,0
350000.0,3.0,2.0,1400.0,0,0,1,0,0,0,0,0,0,0
360000.0,3.0,3.0,2442.0,0,0,1,0,0,0,0,0,0,0
220600.0,4.0,2.0,1125.0,0,0,1,0,0,0,0,0,0,0
450000.0,4.0,3.0,2680.0,0,0,1,0,0,0,0,0,0,0
225000.0,3.0,3.0,1786.0,0,0,1,0,0,0,0,0,0,0
354900.0,3.0,3.0,2973.0,0,0,1,0,0,0,0,0,0,0
380000.0,4.0,3.0,2897.0,0,0,1,0,0,0,0,0,0,0
170000.0,2.0,2.0,1436.0,0,0,1,0,0,0,0,0,0,0
390000.0,3.0,4.0,2666.0,0,0,1,0,0,0,0,0,0,0
269000.0,4.0,3.0,2013.0,0,0,1,0,0,0,0,0,0,0
465000.0,5.0,4.0,3477.0,0,0,1,0,0,0,0,0,0,0
1200000.0,6.0,6.0,6643.0,0,0,1,0,0,0,0,0,0,0
267000.0,5.0,3.0,1946.0,0,0,1,0,0,0,0,0,0,0
229000.0,3.0,3.0,1986.0,0,0,1,0,0,0,0,0,0,0
474500.0,5.0,4.0,3300.0,0,0,1,0,0,0,0,0,0,0
175000.0,2.0,3.0,1240.0,0,0,1,0,0,0,0,0,0,0
416000.0,5.0,5.0,4600.0,0,0,1,0,0,0,0,0,0,0
279000.0,4.0,3.0,2296.0,0,0,1,0,0,0,0,0,0,0
450000.0,5.0,4.0,3744.0,0,0,1,0,0,0,0,0,0,0
309900.0,4.0,3.0,2686.0,0,0,1,0,0,0,0,0,0,0
225000.0,2.0,2.0,1336.0,0,0,1,0,0,0,0,0,0,0
265000.0,3.0,3.0,2203.0,0,0,1,0,0,0,0,0,0,0
242000.0,3.0,3.0,1802.0,0,0,1,0,0,0,0,0,0,0
285000.0,4.0,3.0,2469.0,0,0,1,0,0,0,0,0,0,0
375000.0,6.0,4.0,4438.0,0,0,1,0,0,0,0,0,0,0
429000.0,5.0,5.0,4170.0,0,0,1,0,0,0,0,0,0,0
222000.0,3.0,3.0,1552.0,0,0,1,0,0,0,0,0,0,0
557485.0,4.0,4.0,3342.0,0,0,1,0,0,0,0,0,0,0
