price,address,bds,ba,sqft,image
"$299,000","806 Whisperwood Trl, Acworth, GA 30102",4,3,"2,600",https://photos.zillowstatic.com/p_e/IS3j3uslgggghu1000000000.jpg
"$255,000","603 Lauder Cir, Woodstock, GA 30188",4,3,"1,878",https://photos.zillowstatic.com/p_e/ISjjerntrj1bbp1000000000.jpg
"$334,900","375 Yonah Cir, Woodstock, GA 30189",4,4,"2,675",N/A
"$283,500","117 Covington Dr, Ball Ground, GA 30107",4,3,"2,231",https://photos.zillowstatic.com/p_e/ISjbot91lhjgzo0000000000.jpg
"$295,000","706 Woodhaven Dr, Woodstock, GA 30188",3,2,"1,831",https://photos.zillowstatic.com/p_e/ISv0cai09n8fm50000000000.jpg
"$37,500","0 Sherwood Dr, Woodstock, GA 30188",0.38,N/A,N/A,https://photos.zillowstatic.com/p_e/ISvsxpyhglligm1000000000.jpg
"$205,000","0 Clark Creek Pass, Acworth, GA 30102",11,N/A,N/A,N/A
"$280,000","531 Quinn Dr, Woodstock, GA 30188",4,2.5,"2,318",N/A
"$429,500","606 Atlas Pl, Canton, GA 30114",5,4,"3,504","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$286,000","255 Old Tassel Ct, Woodstock, GA 30189",Studio,--,"1,726","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$237,500","1250 W Oaks Way, Woodstock, GA 30188",2,3,"1,277","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$615,000","14220 Old Course Dr, Roswell, GA 30075",5,5,"5,704","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$278,000","249 Park Ave, Woodstock, GA 30188",3,3,"2,352","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$324,000","2055 Township Dr, Woodstock, GA 30189",4,4,"3,157","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$204,900","117 Sunnybrook Ln, Woodstock, GA 30188",3,2,"1,382","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$268,500","304 Rose Creek Way, Woodstock, GA 30189",4,3,"2,110",N/A
"$250,000","109 Park Village Dr, Canton, GA 30114",4,3,"1,623","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$180,000","750 Green Dr, Canton, GA 30114",3,2,"1,255","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$90,000","323 William Falls Dr, Canton, GA 30114",3.13,N/A,N/A,N/A
"$230,000","107 Sunset Ln, Woodstock, GA 30189",3,3,"2,334","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$413,000","235 Highlands Dr, Woodstock, GA 30188",6,4,"4,658","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$315,000","590 Teresa Ln, Canton, GA 30115",4,3,"2,236","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$208,000","706 Copper Trace Way, Woodstock, GA 30189",3,2,"2,288","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$105,000","1711 Owens Store Rd LOT 0, Canton, GA 30115",5.05,N/A,N/A,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$310,000","315 Woodbrook Crst, Canton, GA 30114",4,3,"2,310","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$245,000","603 Beau Ln, Woodstock, GA 30188",4,2,"2,344","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$389,000","504 Anfield Dr, Woodstock, GA 30188",4,3,"3,835","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$90,000","323 William Falls Dr LOT 248, Canton, GA 30114",3.13,N/A,N/A,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$290,237","262 Augusta Walk, Canton, GA 30114",3,3,"2,256","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$549,000","437 Parkbrook Way, Canton, GA 30114",5,4,"3,066","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$389,900","510 Crested Hawk Rdg, Canton, GA 30114",5,5,"3,427","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
